reference	temperature	pressure	country	region	data.group	cumulative
Bousquet et al., 2002	400	1.4	Switzerland/France	Grisons Window	Alps	0.353
Tenczer and Stüwe, 2003	700	1.4	Austria/Slovenia	Koralpe, Eastern Alps	Alps	0.356
Fitzherbert et al. 2003	475	1.45	New Caledonia	Pam Peninsula	CircumPacific	0.359
Neubauer et al., 1999	710	1.45	Austria	Sieggraben, Carpathians	Alps	0.362
Fitzherbert et al. 2003	565	1.5	New Caledonia	Pam Peninsula	CircumPacific	0.364
John et al. 2010	600	1.5	Ecuador	Raspas Complex	CircumPacific	0.367
Krogh et al. 1994	550	1.5	USA	Jenner, Franciscan	CircumPacific	0.37
Perchuk et al., 1999	700	1.5	USA	Faro eclogite, Yukon-Tanana terrane	CircumPacific	0.373
Garcia-Casco et al., 2006	657	1.5	Cuba	Escambray	CircumAtlantic	0.376
Garcia-Casco et al., 2008	750	1.5	Cuba	Sierra del Convento Melange	CircumAtlantic	0.379
Krebs et al., 2008	445	1.5	Dominican Republic	Rio San Juan	CircumAtlantic	0.381
Krebs et al., 2011	545	1.5	Dominican Republic	Rio San Juan	CircumAtlantic	0.384
Markl and Bucher, 1997	680	1.5	Norway	Lofoten	CircumAtlantic	0.387
Agard et al., 2000	375	1.5	France/Italy	Schistes Lustres	Alps	0.39
Ganne et al., 2003	500	1.5	France/Italy	Brianconnais, Ambin Dome	Alps	0.393
Tenczer and Stüwe, 2003	700	1.5	Austria/Slovenia	Koralpe, Eastern Alps	Alps	0.395
Tenczer and Stüwe, 2003	700	1.5	Austria/Slovenia	Koralpe, Eastern Alps	Alps	0.398
Keiter et al. 2004	500	1.5	Greece	Syros	T-I-G	0.401
Rosenbaum et al. 2002	450	1.5	Greece	Syros	T-I-G	0.404
Rosenbaum et al. 2002	470	1.5	Greece	Sifnos	T-I-G	0.407
Spear et al. 2006	470	1.5	Greece	Sifnos	T-I-G	0.41
Agard et al., 2005	390	1.55	Norway	Svalbard	CircumAtlantic	0.412
Hoinkes et al., 1999	700	1.55	Switzerland/Austria/Italy	Koralpe, Eastern Alps	Alps	0.415
Davis and Whitney, 2006	490	1.55	Turkey	Sivrihisar Massif	T-I-G	0.418
Schumacher et al. 2008	500	1.55	Greece	Syros	T-I-G	0.421
Vitale Brovarone and Agard 2013	450	1.6	New Caledonia	Diahot Terrane	CircumPacific	0.424
Engvik and Andersen, 2000	680	1.6	Norway	Western Gneiss Region	CircumAtlantic	0.427
Kosminska et al., 2014	480	1.6	Norway	Svalbard	CircumAtlantic	0.429
Schneider et al., 2004	600	1.6	Cuba	Escambray	CircumAtlantic	0.432
Zack et al., 2004	360	1.6	Dominican Republic	Samana Peninsula	CircumAtlantic	0.435
Oberhänsli et al., 2007	420	1.6	Iran	Sorkhan	T-I-G	0.438
Okrusch and Broecker, 1990	475	1.6	Greece	Syros	T-I-G	0.441
