reference	temperature	pressure	country	region	data.group	cumulative
Cuthbert et al., 2000	575	2.05	Norway	Western Gneiss Region	CircumAtlantic	0.647
Hoschek et al., 2010	540	2.05	Austria	Tauern Window eclogite zone	Alps	0.65
Hoschek, 2001	610	2.08	Austria	Tauern Window eclogite zone	Alps	0.653
Hoschek et al., 2010	510	2.08	Austria	Tauern Window eclogite zone	Alps	0.655
Parkinson et al., 1998	520	2.1	Indonesia	Barru complex	CircumPacific	0.658
Krebs et al., 2011	690	2.1	Dominican Republic	Rio San Juan	CircumAtlantic	0.661
Krebs et al., 2011	690	2.1	Dominican Republic	Rio San Juan	CircumAtlantic	0.664
Tsujimori et al. 2005	450	2.1	Guatemala	Motagua Fault Zone	CircumAtlantic	0.667
Konzett et al., 2012	645	2.1	Austria	Tauern Window Polinek Complex	Alps	0.669
Klemd et al. 2011	570	2.1	China	Tianshan	Cont_Asia	0.672
van der Straaten et al. 2008	650	2.1	China	Tianshan	Cont_Asia	0.675
Hoschek, 2004	635	2.15	Austria	Tauern Window eclogite zone	Alps	0.678
Kurz et al., 1998	590	2.15	Austria	Tauern Window eclogite zone	Alps	0.681
Messiga et al., 1995	575	2.15	Italy	Ligurian Alps	Alps	0.684
Trommsdorf, 2000	650	2.15	Italy	Val Malenco	Alps	0.686
Footoohi Rad et al., 2005	600	2.15	Iran	Sulabest	T-I-G	0.689
Whitney and Davis, 2006	422	2.15	Turkey	Sivrihisar Massif	T-I-G	0.692
Mposkos et al., 2012	585	2.17	Greece	Kechros	T-I-G	0.695
Brueckner et al. 1998	750	2.2	Greenland	NE Eclogite province	CircumAtlantic	0.698
Krebs et al., 2011	580	2.2	Dominican Republic	Rio San Juan	CircumAtlantic	0.701
Kylander-Clark et al., 2007	815	2.2	Norway	Western Gneiss Region	CircumAtlantic	0.703
Vitale Brovarone et al., 2011	530	2.2	France	Corsica	Alps	0.706
Dale and Holland, 2003	750	2.2	Switzerland	Adula nappe	Alps	0.709
Miller et al., 2007	640	2.2	Austria	Tauern Window eclogite zone	Alps	0.712
Orozbaev et al., 2010	575	2.2	Kyrgyzstan	Tien-Shan	Cont_Asia	0.715
Dragovic et al. 2012	560	2.2	Greece	Sifnos	T-I-G	0.718
Thomas et al. 2010	560	2.2	Greece	Syros	T-I-G	0.72
Wain, 1997	755	2.24	Norway	Western Gneiss Region	CircumAtlantic	0.723
Li et al. 2012	552.5	2.245	China	Tianshan	Cont_Asia	0.726
Cuthbert et al., 2000	620	2.25	Norway	Western Gneiss Region	CircumAtlantic	0.729
Escuder-Viruete and Perez-Estaun, 2013	585	2.25	Dominican Republic	Rio San Juan	CircumAtlantic	0.732
Harlow et al., 2011	400	2.25	Guatemala	Carrizal Grande	CircumAtlantic	0.734
Krebs et al., 2011	695	2.25	Dominican Republic	Rio San Juan	CircumAtlantic	0.737
Martens et al. 2012	705	2.25	Guatemala	Chuacus Complex	CircumAtlantic	0.74
Ravna et al., 2010	377.5	2.25	France	Corsica	Alps	0.743
Davoudian et al., 2008	585	2.25	Iran	Sanandaj-Sirjan	T-I-G	0.746
Whitney and Davis, 2006	555	2.25	Turkey	Sivrihisar Massif	T-I-G	0.749
Vitale Brovarone and Agard 2013	545	2.3	New Caledonia	Diahot Terrane	CircumPacific	0.751
Engvik et al., 2007	635	2.3	Norway	Western Gneiss Region	CircumAtlantic	0.754
Escuder-Viruete et al. 2011	615	2.3	Dominican Republic	Samana Peninsula	CircumAtlantic	0.757
Krebs et al., 2008	750	2.3	Dominican Republic	Rio San Juan	CircumAtlantic	0.76
Angiboust et al., 2009	540	2.3	Switzerland/Italy	Zermatt Saas	Alps	0.763
Nussbaum et al., 1998	700	2.3	Switzerland	Suretta nappe	Alps	0.766
Plunder et al., 2012	480	2.3	France/Italy	Schistes Lustres	Alps	0.768
Toth et al., 2000	750	2.3	Switzerland	Adula nappe (southern)	Alps	0.771
de Sigoyer et al. 2004	560	2.3	India	Tso Morari	Cont_Asia	0.774
Rehman et al., 2013	765	2.3	Pakistan	Kaghan	Cont_Asia	0.777
Shi et al 2014	508	2.34	China	Dabie Shan	Cont_Asia	0.78
Krebs et al., 2011	660	2.35	Dominican Republic	Rio San Juan	CircumAtlantic	0.782
Hoschek et al., 2010	585	2.35	Austria	Tauern Window eclogite zone	Alps	0.785
Clarke et al., 1997	600	2.39	New Caledonia	Pam Peninsula	CircumPacific	0.788
Dobrzhinetskaya et al., 2002	700	2.4	Switzerland	Alpe Arami	Alps	0.791
Gabudianu Radulescu et al. , 2009	550	2.4	Italy	Gran Paradiso	Alps	0.794
Le Bayon et al., 2006	505	2.4	Switzerland	Monte Rosa	Alps	0.797
Meyre et al., 1999	650	2.4	Switzerland	Adula nappe (Trescolmen)	Alps	0.799
Miller et al., 2005	650	2.4	Slovenia	Pohorje	Alps	0.802
Song et al., 2009	500	2.4	China	Qilian Mountains	Cont_Asia	0.805
Zhou et al., 2014	600	2.4	China	Dabie Shan	Cont_Asia	0.808
Cetinkaplan et al., 2008	460	2.4	Turkey	Sivrihisar Massif	T-I-G	0.811
Okay, 2002	430	2.4	Turkey	NW Turkey	T-I-G	0.814
Ghent et al., 2009	450	2.5	Canada	Pinchi Lake	CircumPacific	0.816
Tsujimori et al. 2006	620	2.5	USA	Tiburon, Franciscan	CircumPacific	0.819
Cuthbert et al., 2000	650	2.5	Norway	Western Gneiss Region	CircumAtlantic	0.822
Endo et al. 2012	520	2.5	Guatemala	Motagua Fault Zone	CircumAtlantic	0.825
Krebs et al., 2011	780	2.5	Dominican Republic	Rio San Juan	CircumAtlantic	0.828
Kylander-Clark et al., 2007	675	2.5	Norway	Western Gneiss Region	CircumAtlantic	0.831
Dale and Holland, 2003	750	2.5	Switzerland	Adula nappe	Alps	0.833
Stockhert et al., 1997	595	2.5	Austria	Tauern Window eclogite zone	Alps	0.836
Lanari etal. 2013	750	2.5	Pakistan	Stak	Cont_Asia	0.839
Krebs et al., 2011	805	2.55	Dominican Republic	Rio San Juan	CircumAtlantic	0.842
Smit et al., 2008	620	2.55	Norway	Jaeren nappe, SW Norway	CircumAtlantic	0.845
Gasco et al., 2011	560	2.55	Italy	Monte Rosa	Alps	0.847
Groppo and Castelli, 2010	550	2.55	Italy	Monviso	Alps	0.85
Ota et al., 2000	675	2.6	Kazakhstan	Kokchetav Massif	Cont_Asia	0.853
Tian and Wei 2014	500	2.6	China	Tianshan	Cont_Asia	0.856
Davis and Whitney, 2006	500	2.6	Turkey	Sivrihisar Massif	T-I-G	0.859
Smye et al., 2011	555	2.62	Austria	Tauern Window eclogite zone	Alps	0.862
Angiboust et al. 2011	550	2.65	Italy	Monviso, Lago Superiore	Alps	0.864
St-Onge et al. 2013	637.5	2.65	India	Tso Morari	Cont_Asia	0.867
Cuthbert et al., 2000	675	2.7	Norway	Western Gneiss Region	CircumAtlantic	0.87
Ota et al., 2000	775	2.7	Kazakhstan	Kokchetav Massif	Cont_Asia	0.873
Bucher et al., 2005	575	2.75	Switzerland	Zermatt-Saas Ophiolite Pfulwe	Alps	0.876
Scambelluri et al., 2014	775	2.75	Italy	Cima di Gagnone	Alps	0.879
Young et al., 2007	650	2.8	Norway	Western Gneiss Region	CircumAtlantic	0.881
Reinecke, 1998	615	2.8	Italy	Cignana	Alps	0.884
O'Brien et al., 2001	720	2.8	Pakistan	Kaghan	Cont_Asia	0.887
Walsh and Hacker, 2004	830	2.85	Norway	Western Gneiss Region	CircumAtlantic	0.89
Rehman et al., 2007	770	2.86	Pakistan	Kaghan	Cont_Asia	0.893
Wain, 1997	815	2.88	Norway	Western Gneiss Region	CircumAtlantic	0.895
Masago, 2000	725	2.9	Kazakhstan	Kokchetav Massif	Cont_Asia	0.898
Ota et al., 2000	700	2.9	Kazakhstan	Kokchetav Massif	Cont_Asia	0.901
Kaneko eet al., 2003	735	2.95	Pakistan	Kaghan	Cont_Asia	0.904
Butler et al., 2013	760	3	Norway	Western Gneiss Region	CircumAtlantic	0.907
Cuthbert et al., 2000	750	3	Norway	Western Gneiss Region	CircumAtlantic	0.91
Hattori et al., 2010	700	3	Dominican Republic	Rio San Juan	CircumAtlantic	0.912
Janak et al., 2013	800	3	Sweden	Seve nappe, Jämtland	CircumAtlantic	0.915
Scambelluri et al., 2014	800	3	Italy	Cima di Gagnone	Alps	0.918
Trommsdorff et al., 2000)	800	3	Switzerland/Italy	Alpe Arami	Alps	0.921
Carswell et al. 1997	740	3	China	Dabie Shan	Cont_Asia	0.924
Shi et al 2014	604	3.06	China	Dabie Shan	Cont_Asia	0.927
Carswell et al. 1997	740	3.25	China	Dabie Shan	Cont_Asia	0.929
Terry et al., 2000	820	3.3	Norway	Western Gneiss Region	CircumAtlantic	0.932
Young et al., 2007	710	3.3	Norway	Western Gneiss Region	CircumAtlantic	0.935
Wilke et al. 2010	715	3.3	Pakistan	Kaghan	Cont_Asia	0.938
Yang et al. 2014	710	3.3	China	Sulu	Cont_Asia	0.941
Janak et al., 2012	760	3.35	Norway	Tromsø nappe	CircumAtlantic	0.944
Ravna et al., 2006	735	3.36	Norway	Tromsø nappe	CircumAtlantic	0.946
Vriemojd et al., 2006	800	3.4	Norway	Western Gneiss Region	CircumAtlantic	0.949
Janak et al., 2013	770	3.5	Norway	Tromsø nappe	CircumAtlantic	0.952
Kylander-Clark et al., 2007	825	3.5	Norway	Western Gneiss Region	CircumAtlantic	0.955
Carswell et al. 1997	850	3.5	China	Dabie Shan	Cont_Asia	0.958
Gilotti and Ravna, 2002	970	3.6	Greenland	NE Eclogite province	CircumAtlantic	0.96
Kylander-Clark et al., 2007	875	3.6	Norway	Western Gneiss Region	CircumAtlantic	0.963
Lang and Gilotti, 2007	970	3.6	Greenland	NE Eclogite province	CircumAtlantic	0.966
Nowlan et al. 2000	730	3.6	Italy	Dora Maira	Alps	0.969
Rubatto and Hermann, 2001	760	3.6	Italy	Dora Maira	Alps	0.972
Terry et al., 2000	820	3.65	Norway	Western Gneiss Region	CircumAtlantic	0.975
Schertl et al., 1991	800	3.7	Italy	Dora Maira	Alps	0.977
Masago, 2000	785	3.7	Kazakhstan	Kokchetav Massif	Cont_Asia	0.98
Zhang et al., 1997	775	3.7	Kazakhstan	Kokchetav Massif	Cont_Asia	0.983
Groppo et al., 2007	732	3.77	Italy	Dora Maira	Alps	0.986
Carswell et al., 2006	867	3.85	Norway	Western Gneiss Region	CircumAtlantic	0.989
Shi et al 2014	735	3.88	China	Dabie Shan	Cont_Asia	0.992
Liang et al., 2004	1000	4	China	Altun Mountains	Cont_Asia	0.994
Hermann, 2003	720	4.3	Italy	Dora Maira	Alps	0.997
Carswell et al., 2006	867	4.5	Norway	Western Gneiss Region	CircumAtlantic	1
Dobrzhinetskaya et al., 2002	1100	7	Switzerland	Alpe Arami	Alps	NA
